antecedent,consequent,pair_order_count,support,confidence,lift
CB2586P1,CB2585P1,280,0.00027760482556502496,0.038435140700068635,10.393233001080114
373437,WB4957P5,281,0.00027859627137061433,0.22004698512137824,10.355802095418323
WB4957P5,373437,281,0.00027859627137061433,0.01311123553564763,10.355802095418323
AS6494P1,AS6486P1,1236,0.0012254270157084674,0.20460188710478397,10.272646333153668
AS6486P1,AS6494P1,1236,0.0012254270157084674,0.0615262083727413,10.272646333153668
WS1268P2,WS1268P1,276,0.00027363904234266746,0.4717948717948718,10.222894540134439
WS1268P1,WS1268P2,276,0.00027363904234266746,0.005929235858987304,10.222894540134439
AS4997M5,CB2739P1,202,0.00020027205272905372,0.053737696195796755,10.18822275161167
CB2739P1,AS4997M5,202,0.00020027205272905372,0.03796992481203008,10.18822275161167
CBLOYALFLYER,AS6495P1,1330,0.0013186229214338686,0.13003519749706688,10.046506409886753
AS6495P1,CBLOYALFLYER,1330,0.0013186229214338686,0.10187667560321716,10.046506409886753
